cell_subclass,ALM,VISp
L5 IT,0.25965250965250963,0.05873417721518987
Vip,0.11932915057915058,0.12224231464737793
Sst,0.11872586872586872,0.11334538878842676
Pvalb,0.10436776061776062,0.08759493670886076
L6 IT,0.04066119691119691,0.13280289330922243
Lamp5,0.09326737451737452,0.07739602169981917
L6 CT,0.032818532818532815,0.06893309222423147
L4,0.00024131274131274132,0.09764918625678119
L2/3 IT,0.02521718146718147,0.07009041591320073
L5 PT,0.04403957528957529,0.038770343580470164
NP,0.048503861003861004,0.024448462929475587
Astro,0.02352799227799228,0.026112115732368896
L6b,0.017374517374517374,0.02379746835443038
nan,0.0,0.0172875226039783
Sncg,0.014961389961389961,0.009041591320072333
Oligo,0.011462355212355212,0.006582278481012658
Endo,0.01085907335907336,0.005497287522603978
Macrophage,0.009652509652509652,0.0036889692585895116
VLMC,0.008687258687258687,0.0044122965641952986
SMC,0.0065154440154440154,0.003978300180831827
Serpinf1,0.007118725868725868,0.0018806509945750451
