subclass,region,gene,n_clusters,mean,std,cv
L2/3 IT,VISp,Drd1,6,,,
L2/3 IT,VISp,Drd2,6,,,
L2/3 IT,VISp,Drd4,6,,,
L2/3 IT,VISp,Drd5,6,,,
L2/3 IT,VISp,Htr1a,6,,,
L2/3 IT,VISp,Htr1b,6,,,
L2/3 IT,VISp,Htr1d,6,,,
L2/3 IT,VISp,Htr1f,6,,,
L2/3 IT,VISp,Htr2a,6,,,
L2/3 IT,VISp,Htr2c,6,,,
L2/3 IT,VISp,Htr3a,6,,,
L2/3 IT,VISp,Htr4,6,,,
L2/3 IT,VISp,Htr6,6,,,
L2/3 IT,VISp,Htr7,6,,,
L2/3 IT,VISp,Chrm1,6,,,
L2/3 IT,VISp,Chrm2,6,,,
L2/3 IT,VISp,Chrm3,6,,,
L2/3 IT,VISp,Chrm4,6,,,
L2/3 IT,VISp,Chrm5,6,,,
L2/3 IT,VISp,Chrna2,6,,,
L2/3 IT,VISp,Chrna4,6,,,
L2/3 IT,VISp,Chrna5,6,,,
L2/3 IT,VISp,Chrna7,6,,,
L2/3 IT,VISp,Chrnb2,6,,,
L2/3 IT,VISp,Adra1a,6,,,
L2/3 IT,VISp,Adra1b,6,,,
L2/3 IT,VISp,Adra2a,6,,,
L2/3 IT,VISp,Adra2c,6,,,
L2/3 IT,VISp,Adrb1,6,,,
L2/3 IT,VISp,Adrb2,6,,,
L2/3 IT,VISp,Hrh1,6,,,
L2/3 IT,VISp,Hrh2,6,,,
L2/3 IT,VISp,Hrh3,6,,,
L2/3 IT,VISp,Adora1,6,,,
L2/3 IT,VISp,Adora2a,6,,,
L2/3 IT,VISp,Cnr1,6,,,
L2/3 IT,VISp,Oprd1,6,,,
L2/3 IT,VISp,Oprk1,6,,,
L2/3 IT,VISp,Oprm1,6,,,
L2/3 IT,VISp,Npy1r,6,,,
L2/3 IT,VISp,Npy2r,6,,,
L2/3 IT,ALM,Drd1,6,,,
L2/3 IT,ALM,Drd2,6,,,
L2/3 IT,ALM,Drd4,6,,,
L2/3 IT,ALM,Drd5,6,,,
L2/3 IT,ALM,Htr1a,6,,,
L2/3 IT,ALM,Htr1b,6,,,
L2/3 IT,ALM,Htr1d,6,,,
L2/3 IT,ALM,Htr1f,6,,,
L2/3 IT,ALM,Htr2a,6,,,
L2/3 IT,ALM,Htr2c,6,,,
L2/3 IT,ALM,Htr3a,6,,,
L2/3 IT,ALM,Htr4,6,,,
L2/3 IT,ALM,Htr6,6,,,
L2/3 IT,ALM,Htr7,6,,,
L2/3 IT,ALM,Chrm1,6,,,
L2/3 IT,ALM,Chrm2,6,,,
L2/3 IT,ALM,Chrm3,6,,,
L2/3 IT,ALM,Chrm4,6,,,
L2/3 IT,ALM,Chrm5,6,,,
L2/3 IT,ALM,Chrna2,6,,,
L2/3 IT,ALM,Chrna4,6,,,
L2/3 IT,ALM,Chrna5,6,,,
L2/3 IT,ALM,Chrna7,6,,,
L2/3 IT,ALM,Chrnb2,6,,,
L2/3 IT,ALM,Adra1a,6,,,
L2/3 IT,ALM,Adra1b,6,,,
L2/3 IT,ALM,Adra2a,6,,,
L2/3 IT,ALM,Adra2c,6,,,
L2/3 IT,ALM,Adrb1,6,,,
L2/3 IT,ALM,Adrb2,6,,,
L2/3 IT,ALM,Hrh1,6,,,
L2/3 IT,ALM,Hrh2,6,,,
L2/3 IT,ALM,Hrh3,6,,,
L2/3 IT,ALM,Adora1,6,,,
L2/3 IT,ALM,Adora2a,6,,,
L2/3 IT,ALM,Cnr1,6,,,
L2/3 IT,ALM,Oprd1,6,,,
L2/3 IT,ALM,Oprk1,6,,,
L2/3 IT,ALM,Oprm1,6,,,
L2/3 IT,ALM,Npy1r,6,,,
