cell_cluster,region,n_cells,mean_log_Calb2,frac_Calb2,mean_log_Crh,frac_Crh,mean_log_Hpse,frac_Hpse,mean_log_Nos1,frac_Nos1,mean_log_Pdyn,frac_Pdyn,mean_log_Chrna2,frac_Chrna2
Sst Calb2 Necab1,ALM,41,1.6515607,0.926829268292683,0.0053647067,0.2682926829268293,0.005612011,0.024390243902439025,0.24599296,0.5853658536585366,0.48452935,0.43902439024390244,0.0,0.0
Sst Calb2 Necab1,VISp,27,1.5575342,0.9629629629629629,0.06556591,0.18518518518518517,0.0,0.0,0.20624812,0.6296296296296297,0.53407574,0.5925925925925926,0.0,0.0
Sst Calb2 Pdlim5,ALM,105,2.2919748,0.9619047619047619,0.19191252,0.6761904761904762,0.15052535,0.3238095238095238,0.1004027,0.3523809523809524,1.3715198,0.9714285714285714,0.0,0.0
Sst Calb2 Pdlim5,VISp,116,1.828917,0.9051724137931034,0.006788361,0.28448275862068967,0.082734905,0.1724137931034483,0.25442535,0.7068965517241379,1.7121627,0.9741379310344828,0.0004933248,0.008620689655172414
Sst Chodl,ALM,91,1.0126806,0.7362637362637363,0.00044661408,0.06593406593406594,5.5693607e-05,0.01098901098901099,2.5065126,1.0,0.23264576,0.6263736263736264,0.00032641267,0.02197802197802198
Sst Chodl,VISp,56,1.7204058,0.8035714285714286,0.026358647,0.23214285714285715,0.0,0.0,2.578493,1.0,0.34593323,0.6607142857142857,0.0,0.0
Sst Chrna2 Glra3,ALM,263,0.011449586,0.11026615969581749,0.0023677824,0.17870722433460076,1.9666908e-05,0.0038022813688212928,0.00289899,0.015209125475285171,0.081144184,0.17110266159695817,0.70692915,0.8935361216730038
Sst Chrna2 Glra3,VISp,218,0.030133842,0.14678899082568808,0.003064046,0.16055045871559634,0.0,0.0,0.0015593619,0.03211009174311927,0.39819977,0.43119266055045874,0.4729461,0.7935779816513762
Sst Chrna2 Ptgdr,ALM,63,0.0008353913,0.1111111111111111,0.0031286976,0.2698412698412698,0.0049127503,0.015873015873015872,0.0071694246,0.031746031746031744,2.0974505,0.9365079365079365,0.65082353,0.7777777777777778
Sst Chrna2 Ptgdr,VISp,129,0.0005232467,0.08527131782945736,0.0021596495,0.12403100775193798,0.0015786964,0.007751937984496124,0.001541321,0.031007751937984496,2.7798235,0.9922480620155039,0.28406945,0.5038759689922481
Sst Crh 4930553C11Rik,ALM,33,0.0003293931,0.06060606060606061,0.86153334,0.9090909090909091,0.12536629,0.30303030303030304,0.04120454,0.21212121212121213,0.4049647,0.45454545454545453,0.0,0.0
Sst Crh 4930553C11Rik,VISp,54,0.0038418297,0.14814814814814814,1.0132864,0.7407407407407407,0.03656033,0.16666666666666666,0.23697825,0.6666666666666666,0.15336432,0.3333333333333333,0.0,0.0
Sst Crhr2 Efemp1,ALM,36,0.06455457,0.19444444444444445,0.046498828,0.16666666666666666,0.26718533,0.4166666666666667,0.067933805,0.3055555555555556,1.6411331,0.8888888888888888,0.018478014,0.08333333333333333
Sst Crhr2 Efemp1,VISp,76,0.027326053,0.15789473684210525,0.083751015,0.39473684210526316,0.19435598,0.5657894736842105,0.100493655,0.4868421052631579,1.6200945,0.9078947368421053,0.0,0.0
Sst Esm1,ALM,52,0.09512294,0.11538461538461539,0.23777959,0.6538461538461539,0.046804246,0.15384615384615385,0.01023498,0.1346153846153846,0.21494064,0.38461538461538464,0.13495214,0.23076923076923078
Sst Esm1,VISp,61,0.14348608,0.32786885245901637,1.0817212,0.7704918032786885,0.061320946,0.36065573770491804,0.0904453,0.5081967213114754,0.17212245,0.32786885245901637,0.046364192,0.13114754098360656
Sst Hpse Cbln4,ALM,23,0.299284,0.5217391304347826,0.048129477,0.2608695652173913,0.88145936,0.9130434782608695,0.019947503,0.13043478260869565,2.3009963,1.0,0.0,0.0
Sst Hpse Cbln4,VISp,35,0.04801069,0.14285714285714285,0.0011451065,0.17142857142857143,0.97015357,0.9714285714285714,0.048720717,0.2571428571428571,3.158822,1.0,0.0,0.0
Sst Hpse Sema3c,ALM,26,0.0001899965,0.038461538461538464,0.0018848263,0.19230769230769232,0.5674848,0.7692307692307693,0.0072198636,0.11538461538461539,3.6035051,1.0,0.0,0.0
Sst Hpse Sema3c,VISp,170,0.0008114238,0.07647058823529412,0.005355132,0.1,0.35055155,0.5235294117647059,0.008032275,0.03529411764705882,3.4050617,1.0,0.0,0.0
Sst Mme Fam114a1,ALM,23,0.01309814,0.34782608695652173,0.0008694143,0.13043478260869565,0.0,0.0,0.10751407,0.5217391304347826,0.12905034,0.30434782608695654,0.00023822628,0.043478260869565216
Sst Mme Fam114a1,VISp,34,0.038608152,0.11764705882352941,0.0022662776,0.17647058823529413,0.009013812,0.058823529411764705,0.100015126,0.3235294117647059,0.40700868,0.47058823529411764,0.0,0.0
Sst Myh8 Etv1,ALM,16,0.18841435,0.1875,0.0009799367,0.125,0.0003179882,0.0625,0.010758919,0.1875,0.15004876,0.3125,0.22722083,0.5
Sst Myh8 Etv1,VISp,70,0.0043734796,0.18571428571428572,0.002225119,0.24285714285714285,0.0,0.0,0.0079100635,0.15714285714285714,0.62343556,0.4142857142857143,0.0655262,0.17142857142857143
Sst Myh8 Fibin,ALM,16,0.0002838455,0.0625,0.000316951,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.19840723,0.4375
Sst Myh8 Fibin,VISp,81,0.033222735,0.14814814814814814,0.0019178512,0.2222222222222222,0.0,0.0,0.035725057,0.14814814814814814,0.005288627,0.1111111111111111,0.06994901,0.20987654320987653
Sst Nr2f2 Necab1,ALM,18,0.00057597674,0.1111111111111111,0.0021705925,0.16666666666666666,0.0,0.0,0.15706047,0.7777777777777778,0.2608754,0.3333333333333333,0.0,0.0
Sst Nr2f2 Necab1,VISp,40,0.010411625,0.125,0.0032029562,0.2,0.0,0.0,0.08458346,0.5,1.0210465,0.575,0.010200523,0.125
Sst Nts,ALM,6,0.28638053,0.3333333333333333,1.298241,0.6666666666666666,0.00086328556,0.16666666666666666,0.52081114,0.8333333333333334,0.0,0.0,0.0,0.0
Sst Nts,VISp,29,0.15651406,0.27586206896551724,0.3518237,0.4827586206896552,0.0,0.0,0.08200378,0.3103448275862069,0.00065917545,0.10344827586206896,0.006262858,0.034482758620689655
Sst Rxfp1 Eya1,ALM,11,0.00044107522,0.09090909090909091,2.2129421,1.0,0.0,0.0,0.0033737286,0.18181818181818182,0.0008800207,0.09090909090909091,0.0,0.0
Sst Rxfp1 Eya1,VISp,46,0.0021918574,0.06521739130434782,2.4758039,1.0,0.00090644957,0.021739130434782608,0.00014188768,0.021739130434782608,0.010458847,0.08695652173913043,0.0,0.0
Sst Rxfp1 Prdm8,ALM,19,0.04629581,0.3157894736842105,1.8492861,1.0,0.0,0.0,0.24159093,0.42105263157894735,0.00075573404,0.10526315789473684,0.020049786,0.15789473684210525
Sst Rxfp1 Prdm8,VISp,119,0.0038202505,0.14285714285714285,1.5789378,0.9831932773109243,0.0,0.0,0.110857874,0.3445378151260504,0.00021757896,0.04201680672268908,8.9342575e-05,0.01680672268907563
Sst Tac1 Htr1d,ALM,79,0.25468057,0.379746835443038,0.0032020127,0.13924050632911392,0.0,0.0,0.27690265,0.7974683544303798,0.04610975,0.12658227848101267,0.0,0.0
Sst Tac1 Htr1d,VISp,90,0.35682294,0.43333333333333335,0.0038527763,0.2111111111111111,0.000105625746,0.011111111111111112,0.21403618,0.6111111111111112,0.0880804,0.3111111111111111,0.0,0.0
Sst Tac1 Tacr3,VISp,48,0.14919172,0.1875,0.01269557,0.25,0.0,0.0,0.3490442,0.75,0.10584813,0.20833333333333334,0.0,0.0
Sst Tac2 Myh4,ALM,43,0.013579093,0.13953488372093023,0.04975397,0.3953488372093023,0.0,0.0,0.0006672949,0.06976744186046512,1.114061,0.6744186046511628,0.6812296,0.8372093023255814
Sst Tac2 Myh4,VISp,21,0.0042103403,0.19047619047619047,0.32762754,0.6666666666666666,0.025744086,0.047619047619047616,0.0,0.0,2.7353952,1.0,0.16208026,0.14285714285714285
Sst Tac2 Tacstd2,ALM,20,0.00088868185,0.1,0.97432965,0.9,0.03671841,0.2,0.0005160314,0.1,0.2961352,0.1,0.26588956,0.45
Sst Tac2 Tacstd2,VISp,47,0.0005089845,0.0851063829787234,1.7713588,1.0,0.005234098,0.02127659574468085,0.001283387,0.0425531914893617,0.578702,0.44680851063829785,0.048389982,0.14893617021276595
