gene,species,mean_expr_log1p_cpm10k,pct_expressing,n_cells,mouse_gene_symbol,marmoset_gene_symbol
CHRM1,marmoset,0.32269263683725435,4.922279792746114,3474,Chrm1,CHRM1
CHRM1,mouse,4.332705664161635,55.83918315252075,1567,Chrm1,Chrm1
CHRM2,marmoset,2.046041945108015,28.238341968911918,3474,Chrm2,CHRM2
CHRM2,mouse,1.9069216232236414,25.143586470963626,1567,Chrm2,Chrm2
CHRM3,marmoset,8.97735529436267,98.27288428324698,3474,Chrm3,CHRM3
CHRM3,mouse,6.90459371039959,90.68283343969368,1567,Chrm3,Chrm3
CHRM4,marmoset,,,3474,Chrm4,CHRM4
CHRM4,mouse,0.5155409806251481,7.78557753669432,1567,Chrm4,Chrm4
CHRNA2,marmoset,0.02369693199005379,0.37420840529648824,3474,Chrna2,CHRNA2
CHRNA2,mouse,1.494037083629438,18.76196553924697,1567,Chrna2,Chrna2
CHRNA4,marmoset,0.23072665149159624,3.3966609096142775,3474,Chrna4,CHRNA4
CHRNA4,mouse,4.937786289902233,62.9865985960434,1567,Chrna4,Chrna4
CHRNA5,marmoset,0.017833208519188685,0.2590673575129534,3474,Chrna5,CHRNA5
CHRNA5,mouse,0.060480355490441284,1.0210593490746651,1567,Chrna5,Chrna5
CHRNA7,marmoset,0.06971015073812896,1.065054691997697,3474,Chrna7,CHRNA7
CHRNA7,mouse,1.324289515211884,18.18761965539247,1567,Chrna7,Chrna7
