ttype,n_cells,marker1,marker2,marker3
Sst Calb2 Necab1,55,Rn18s-rs5,Malat1,Lars2
Sst Calb2 Pdlim5,266,Malat1,Rn18s-rs5,Nrxn3
Sst Chodl,132,Rn18s-rs5,Malat1,Npy
Sst Chrna2 Glra3,19,Rn18s-rs5,Malat1,Lars2
Sst Chrna2 Ptgdr,10,Rn18s-rs5,Malat1,Lars2
Sst Crh 4930553C11Rik ,42,Rn18s-rs5,Malat1,Lars2
Sst Crhr2 Efemp1,116,Rn18s-rs5,Malat1,Lars2
Sst Esm1,146,Malat1,Rn18s-rs5,Meg3
Sst Hpse Cbln4,252,Rn18s-rs5,Malat1,Nrxn3
Sst Hpse Sema3c,58,Rn18s-rs5,Malat1,Nrxn3
Sst Mme Fam114a1,68,Rn18s-rs5,Malat1,Meg3
Sst Myh8 Etv1 ,61,Rn18s-rs5,Malat1,Lars2
Sst Myh8 Fibin,18,Rn18s-rs5,Malat1,Lars2
Sst Nr2f2 Necab1,37,Rn18s-rs5,Malat1,Meg3
Sst Nts,47,Rn18s-rs5,Malat1,Lars2
Sst Rxfp1 Eya1,96,Rn18s-rs5,Malat1,Galntl6
Sst Rxfp1 Prdm8,143,Rn18s-rs5,Malat1,Kcnip4
Sst Tac1 Htr1d,63,Rn18s-rs5,Malat1,Meg3
Sst Tac1 Tacr3,54,Rn18s-rs5,Malat1,Lars2
Sst Tac2 Myh4,30,Rn18s-rs5,Malat1,Lars2
Sst Tac2 Tacstd2,111,Rn18s-rs5,Malat1,Kcnip4
