pre_pt_root_id,n_outgoing_syn,soma_x,soma_y,soma_z
864691132668098833,15494,934537,496640,292590
864691132708393766,15083,869430,677758,290070
864691132714139653,15027,809911,813170,284130
864691132683527136,14758,877423,805876,386280
864691132607332633,14655,994599,844133,382995
864691132783357426,14476,830010,720826,166275
864691132738754152,13612,943538,720128,253035
864691132659029623,13432,773129,675042,307305
864691132742024532,13189,796642,680862,151065
864691132921760737,13174,741701,845840,340650
