cell_type,n_cells
L4 IT VISp Rspo1,1350
L6 IT VISp Penk Col27a1,1031
L2/3 IT VISp Agmat,658
Lamp5 Lsp1,425
L5 IT VISp Batf3,390
Pvalb Tpbg,386
L6 IT VISp Col23a1 Adamts2,371
Astro Aqp4,361
Pvalb Reln Tac1,328
L6 CT VISp Ctxn3 Sla,315
Lamp5 Plch2 Dock5,300
L6 CT VISp Ctxn3 Brinp3,277
Sst Chrna2 Glra3,218
L5 PT VISp Krt80,216
L2/3 IT VISp Adamts2,207
L6 CT VISp Krt80 Sla,205
L5 IT VISp Hsd11b1 Endou,199
Vip Ptprt Pkp2,197
Vip Arhgap36 Hmcn1,196
L6 IT VISp Penk Fst,194
Lamp5 Ntn1 Npy2r,176
Vip Chat Htr1f,173
L5 NP VISp Trhr Met,171
Sst Hpse Sema3c,170
L6 IT VISp Col18a1,163
L5 NP VISp Trhr Cpne7,162
Vip Crispld2 Htr2c,161
Sst Chrna2 Ptgdr,129
Pvalb Gpr149 Islr,129
Vip Pygm C1ql1,127
Vip Igfbp6 Pltp,122
Sst Rxfp1 Prdm8,119
Sst Calb2 Pdlim5,116
Vip Lect1 Oxtr,114
L5 IT VISp Col27a1,111
L6b VISp Mup5,110
Vip Crispld2 Kcne4,110
L5 PT VISp C1ql2 Cdh13,107
L2/3 IT VISp Rrad,103
L5 PT VISp C1ql2 Ptgfr,102
Vip Gpc3 Slc18a3,92
Sst Tac1 Htr1d,90
L5 PT VISp Chrna6,89
Sst Myh8 Fibin,81
L6 CT VISp Nxph2 Wls,80
Pvalb Gabrg1,76
Sst Crhr2 Efemp1,76
L6 IT VISp Car3,74
L6b VISp Col8a1 Rprm,74
Endo Ctla2a,73
Sst Myh8 Etv1,70
Vip Igfbp6 Car10,70
Vip Lmo1 Myl1,67
Vip Rspo4 Rxfp1 Chat,66
L5 IT VISp Whrn Tox2,66
Pvalb Calb1 Sst,64
L6 CT VISp Gpr139,63
Sst Esm1,61
Vip Lmo1 Fam159b,59
Vip Igfbp4 Mab21l1,57
Sst Chodl,56
SMC Acta2,55
L6b VISp Col8a1 Rxfp1,55
Sst Crh 4930553C11Rik,54
Pvalb Reln Itm2a,52
Pvalb Th Sst,50
Vip Rspo1 Itga4,50
Sst Tac1 Tacr3,48
Sst Tac2 Tacstd2,47
Sst Rxfp1 Eya1,46
Pvalb Vipr2,46
Sncg Vip Itih5,46
Lamp5 Fam19a1 Tmem182,45
L6b P2ry12,45
Pvalb Akr1c18 Ntf3,45
L5 IT VISp Col6a1 Fezf2,44
Microglia Siglech,44
Meis2 Adamts19,44
Lamp5 Fam19a1 Pax6,43
Oligo Serpinb1a,42
Lamp5 Krt73,41
L6b VISp Crh,40
Sst Nr2f2 Necab1,40
Lamp5 Lhx6,40
Sncg Vip Nptx2,39
VLMC Osr1 Mc5r,37
Sst Hpse Cbln4,35
Pvalb Sema3e Kank4,35
Sst Mme Fam114a1,34
Vip Col15a1 Pde1a,29
Sst Nts,29
Peri Kcnj8,28
Sncg Gpr50,28
OPC Pdgfra Grm5,27
Sst Calb2 Necab1,27
L5 PT VISp Lgr5,22
Sst Tac2 Myh4,21
Oligo Synpr,16
Serpinf1 Aqp5 Vip,16
VLMC Osr1 Cd74,12
Sncg Slc17a8,12
L6 CT ALM Nxph2 Sla,12
Serpinf1 Clrn1,10
VLMC Spp1 Col15a1,9
CR Lhx5,7
PVM Mrc1,7
L5 NP ALM Trhr Nefl,5
L6b Hsd17b2,5
OPC Pdgfra Ccnb1,3
VLMC Spp1 Hs3st6,3
Oligo Rassf10,3
Endo Cytl1,3
L6 IT ALM Oprk1,2
L6 IT ALM Tgfb1,1
L5 IT ALM Npw,1
L5 IT ALM Cpa6 Gpr88,1
L2/3 IT ALM Sla,1
L6 CT ALM Cpa6,1
