roi_a_idx,roi_b_idx,dist_um,noise_corr,signal_corr,total_corr,cx_a,cy_a,cx_b,cy_b
775,777,38.6701273045434,0.81468046,0.9517259,0.30098507,539.63403,179.83618,542.88245,218.36963
633,892,24.432885543171018,0.80318,0.4977194,0.17345698,380.6167,24.1138,403.09595,14.540436
564,606,46.53312848529453,0.758309,0.4858351,0.25138074,308.39404,161.79446,332.23108,121.83038
633,1099,10.893447042401007,0.7499107,0.65161157,0.12606184,380.6167,24.1138,381.7832,13.2829895
653,654,19.828129731640654,0.7486033,0.6881474,0.12219486,385.85272,317.75507,366.1062,319.5522
219,1209,34.8930037080961,0.73824835,0.7643685,0.27736303,-140.3287,84.239685,-163.38535,110.42963
875,981,38.19373250367919,0.73668915,0.43023443,0.00836222,233.59467,53.43637,196.68225,63.246307
593,1056,13.887544994346811,0.7306926,0.3160158,0.1922955,347.06238,-56.197754,360.94904,-56.04077
533,875,39.17243385724646,0.72672826,0.38087666,0.18842691,269.9652,67.985016,233.59467,53.43637
892,947,41.14351405676867,0.7117772,0.7547559,0.09903191,403.09595,14.540436,425.21027,49.235474
147,1128,42.47152721289301,0.70300186,0.046545196,0.16573873,-194.1257,-170.75537,-236.5233,-173.26022
223,1209,47.35200819236643,0.6958243,0.25017777,0.30877712,-155.28821,157.0842,-163.38535,110.42963
759,905,46.684652273758296,0.6942529,0.26334956,0.22561216,549.67896,-181.72203,524.86975,-142.1751
858,1064,40.525692204708186,0.69336075,-0.2945409,0.1144298,432.1621,357.2033,471.98022,349.66345
892,1099,21.349806415366448,0.69296336,0.49241993,0.14677115,403.09595,14.540436,381.7832,13.2829895
703,739,25.716220980868414,0.6869096,0.35162908,0.23660971,450.1574,122.39783,475.69244,125.44513
1,2,19.033691805648974,0.6763008,0.83067966,0.5731815,-458.73502,-81.56271,-473.34583,-93.76131
393,433,24.426202548853603,0.6739103,0.27789688,0.065267675,110.24286,-7.8925934,128.50934,-24.1091
332,1038,15.189352473415711,0.6710318,0.14711715,0.2187547,5.386505,-123.990105,2.5196838,-138.90646
