dist_center,dist_lo,dist_hi,n_pairs,nc_mean,nc_ci_lo,nc_ci_hi,tc_mean,tc_ci_lo,tc_ci_hi
10.0,0,20,1421,0.11161823,0.10196411777287721,0.12002168521285057,0.14488791,0.13934601210057734,0.15034593157470227
30.0,20,40,5010,0.1084449,0.10378332268446684,0.11329654548317195,0.1409982,0.13779018595814704,0.14365064464509486
50.0,40,60,8201,0.08970199,0.08505769781768321,0.09421095699071884,0.12506753,0.12231223732233047,0.1277034766972065
70.0,60,80,10998,0.080593154,0.07588571924716234,0.08567486312240362,0.11169864,0.10910824462771415,0.11468964777886867
90.0,80,100,13836,0.06766733,0.06331693269312381,0.07188040632754564,0.102872804,0.10062236897647381,0.10529791340231895
125.0,100,150,44893,0.05447568,0.04954313412308693,0.05876263855025172,0.09172863,0.0892374325543642,0.09432894308120013
175.0,150,200,56864,0.04361745,0.03918800354003906,0.048139650747179984,0.07993399,0.07751516792923212,0.08221319168806077
250.0,200,300,137731,0.030934025,0.02718027513474226,0.03546418147161602,0.064755596,0.062438986264169216,0.06696353461593389
400.0,300,500,288999,0.0051265536,0.0003714380327437541,0.009698381787166,0.03780993,0.03560208361595869,0.04001206113025546
750.0,500,1000,300405,-0.0052062264,-0.009401684254407882,-0.0008372911790502271,0.026326561,0.0242419368121773,0.0281577592715621
