id,created,superceded_id,valid,valid_id,status_dendrite,status_axon,strategy_dendrite,strategy_axon,pt_supervoxel_id,pt_root_id,pt_position,soma_x_um,soma_y_um,soma_z_um
4584,2025-11-17 21:56:20.328504+00:00,,True,864691135686494647,True,True,dendrite_extended,axon_fully_extended,105489482232831453,864691135686494647,[296464 111200  16770],1185.856,444.8,670.8
9,2024-06-03 19:45:52.508002+00:00,,True,864691136812081779,True,True,dendrite_extended,axon_interareal,110486693995521385,864691136812081779,[332369 118815  17518],1329.476,475.26,700.72
14,2024-06-03 19:45:52.512832+00:00,,True,864691136195284556,True,True,dendrite_extended,axon_fully_extended,88615277952475942,864691136195284556,[173184 217472  21929],692.736,869.888,877.16
18,2024-06-03 19:45:52.516196+00:00,,True,864691135479404742,True,True,dendrite_extended,axon_interareal,89177746601127042,864691135479404742,[177437 213778  19873],709.748,855.112,794.92
19,2024-06-03 19:45:52.516972+00:00,,True,864691135975539779,True,True,dendrite_extended,axon_interareal,110486900288339126,864691135975539779,[332563 120074  18680],1330.252,480.296,747.2
20,2024-06-03 19:45:52.517750+00:00,,True,864691136210344892,True,True,dendrite_extended,axon_interareal,110426014899191850,864691136210344892,[332044 190880  19309],1328.176,763.52,772.36
23,2024-06-03 19:45:52.520103+00:00,,True,864691135975633475,True,True,dendrite_extended,axon_interareal,109087016364643885,864691135975633475,[322183 176189  22803],1288.732,704.756,912.12
27,2024-06-03 19:45:52.523007+00:00,,True,864691135497743635,True,True,dendrite_extended,axon_interareal,110489099445730084,864691135497743635,[332593 136702  19643],1330.372,546.808,785.72
28,2024-06-03 19:45:52.523765+00:00,,True,864691136108938168,True,True,dendrite_extended,axon_interareal,109502700076506995,864691136108938168,[325539 127325  19524],1302.156,509.3,780.96
30,2024-06-03 19:45:52.525188+00:00,,True,864691136023889209,True,True,dendrite_extended,axon_interareal,87904100087286054,864691136023889209,[168181 161960  21511],672.724,647.84,860.44
31,2024-06-03 19:45:52.525918+00:00,,True,864691135212863360,True,True,dendrite_extended,axon_fully_extended,101561340644099748,864691135212863360,[267551 204473  25114],1070.204,817.892,1004.56
32,2024-06-03 19:45:52.526650+00:00,,True,864691136309871706,True,True,dendrite_extended,axon_interareal,107459738685598932,864691136309871706,[310460 110729  19085],1241.84,442.916,763.4
34,2024-06-03 19:45:52.528237+00:00,,True,864691136903144370,True,True,dendrite_extended,axon_interareal,85731327336693119,864691136903144370,[152409 226078  19308],609.636,904.312,772.32
35,2024-06-03 19:45:52.528938+00:00,,True,864691135572530981,True,True,dendrite_extended,axon_interareal,111692652428579758,864691135572530981,[341269 190981  20318],1365.076,763.924,812.72
36,2024-06-03 19:45:52.529630+00:00,,True,864691135857099310,True,True,dendrite_extended,axon_partially_extended,103034411347552977,864691135857099310,[278320 169248  25240],1113.28,676.992,1009.6
37,2024-06-03 19:45:52.530332+00:00,,True,864691135915343462,True,True,dendrite_extended,axon_interareal,110491848291722972,864691135915343462,[332533 156951  19993],1330.132,627.804,799.72
38,2024-06-03 19:45:52.531015+00:00,,True,864691135816565839,True,True,dendrite_extended,axon_interareal,89026289679485900,864691135816565839,[176651 134176  25806],706.604,536.704,1032.24
2311,2024-11-16 22:13:19.675852+00:00,,True,864691135384285931,True,True,dendrite_extended,axon_partially_extended,93390937853655061,864691135384285931,[208064 147280  20552],832.256,589.12,822.08
40,2024-06-03 19:45:52.532397+00:00,,True,864691135700409211,True,True,dendrite_extended,axon_interareal,108380717784334769,864691135700409211,[317058 156414  24562],1268.232,625.656,982.48
42,2024-06-03 19:45:52.533760+00:00,,True,864691135749141801,True,True,dendrite_extended,axon_interareal,105420763628551975,864691135749141801,[295774 123171  23440],1183.096,492.684,937.6
43,2024-06-03 19:45:52.534440+00:00,,True,864691136990522517,True,True,dendrite_extended,axon_interareal,93177907207497424,864691136990522517,[206577 133261  18640],826.308,533.044,745.6
47,2024-06-03 19:45:52.537810+00:00,,True,864691136137834877,True,True,dendrite_extended,axon_interareal,106053051533554699,864691136137834877,[300576 115616  23080],1202.304,462.464,923.2
49,2024-06-03 19:45:52.539183+00:00,,True,864691135772053835,True,True,dendrite_extended,axon_interareal,106543777116022032,864691135772053835,[304080 101984  21853],1216.32,407.936,874.12
50,2024-06-03 19:45:52.539855+00:00,,True,864691135701624699,True,True,dendrite_extended,axon_interareal,109853375499143509,864691135701624699,[328203 118745  18982],1312.812,474.98,759.28
53,2024-06-03 19:45:52.541935+00:00,,True,864691136391623039,True,True,dendrite_extended,axon_interareal,104864067013098853,864691136391623039,[291803 169742  22256],1167.212,678.968,890.24
54,2024-06-03 19:45:52.542605+00:00,,True,864691135593659947,True,True,dendrite_extended,axon_interareal,108873092969256720,864691135593659947,[320911 155330  25498],1283.644,621.32,1019.92
57,2024-06-03 19:45:52.544898+00:00,,True,864691135361314119,True,True,dendrite_extended,axon_fully_extended,89728464688927877,864691135361314119,[181440 122864  21327],725.76,491.456,853.08
58,2024-06-03 19:45:52.545538+00:00,,True,864691135361291591,True,True,dendrite_extended,axon_fully_extended,95085354260331953,864691135361291591,[220387 188733  22882],881.548,754.932,915.28
59,2024-06-03 19:45:52.546198+00:00,,True,864691136023980601,True,True,dendrite_extended,axon_interareal,105004461172496411,864691136023980601,[292612 167390  24276],1170.448,669.56,971.04
4585,2025-11-17 21:56:20.329472+00:00,,True,864691135496333968,True,True,dendrite_extended,axon_fully_extended,109643094303080852,864691135496333968,[326688 124864  22127],1306.752,499.456,885.08
61,2024-06-03 19:45:52.547503+00:00,,True,864691135753932237,True,True,dendrite_extended,axon_interareal,85369450370657325,864691135753932237,[149711 151738  17565],598.844,606.952,702.6
3503,2025-03-28 16:04:45.857900+00:00,,True,864691136118294692,False,True,none,axon_fully_extended,99384100120433887,864691136118294692,[251881 235632  14856],1007.524,942.528,594.24
4586,2025-11-17 21:56:20.330307+00:00,,True,864691135387690069,True,True,dendrite_extended,axon_fully_extended,111965193537510390,864691135387690069,[343568 124400  17524],1374.272,497.6,700.96
65,2024-06-03 19:45:52.550178+00:00,,True,864691135848030814,True,True,dendrite_extended,axon_interareal,109362375039472981,864691135848030814,[324313 130732  20736],1297.252,522.928,829.44
4587,2025-11-17 21:56:20.331093+00:00,,True,864691135566945559,True,True,dendrite_extended,axon_fully_extended,83395895651246035,864691135566945559,[135440 127280  17112],541.76,509.12,684.48
4048,2025-07-23 02:32:47.966052+00:00,,True,864691135360617560,False,True,none,axon_partially_extended,82195229691729392,864691135360617560,[126904  94411  22614],507.616,377.644,904.56
2313,2024-11-16 22:13:19.677307+00:00,,True,864691135619317391,True,True,dendrite_extended,axon_partially_extended,94305593820952924,864691135619317391,[214608 146208  18844],858.432,584.832,753.76
72,2024-06-03 19:45:52.554963+00:00,,True,864691134884807418,True,True,dendrite_extended,axon_interareal,105913344770753749,864691134884807418,[299067 123129  22993],1196.268,492.516,919.72
75,2024-06-03 19:45:52.556953+00:00,,True,864691135440543560,True,True,dendrite_extended,axon_interareal,104718725923906897,864691135440543560,[290540 135491  26952],1162.16,541.964,1078.08
76,2024-06-03 19:45:52.557619+00:00,,True,864691136066631832,True,True,dendrite_extended,axon_interareal,109574374424118828,864691136066631832,[325771 137145  19374],1303.084,548.58,774.96
2315,2024-11-16 22:13:19.678812+00:00,,True,864691136107283417,True,True,dendrite_extended,axon_partially_extended,95432593641887264,864691136107283417,[223232 154688  21762],892.928,618.752,870.48
79,2024-06-03 19:45:52.559772+00:00,,True,864691135233242713,True,True,dendrite_extended,axon_interareal,105848748730577131,864691135233242713,[298779 166548  24632],1195.116,666.192,985.28
80,2024-06-03 19:45:52.560444+00:00,,True,864691135807579933,True,True,dendrite_extended,axon_interareal,106478974649547656,864691135807579933,[303559 143174  21984],1214.236,572.696,879.36
2316,2024-11-16 22:13:19.679514+00:00,,True,864691135479833030,True,True,dendrite_extended,axon_partially_extended,93812943892323351,864691135479833030,[211120 145808  18916],844.48,583.232,756.64
2317,2024-11-16 22:13:19.680199+00:00,,True,864691135503443549,True,True,dendrite_extended,axon_partially_extended,96559042834747623,864691135503443549,[231408 158896  18127],925.632,635.584,725.08
88,2024-06-03 19:45:52.565862+00:00,,True,864691136925601354,True,True,dendrite_extended,axon_interareal,109363542599532907,864691136925601354,[324620 139328  15625],1298.48,557.312,625.0
90,2024-06-03 19:45:52.567308+00:00,,True,864691135517531786,True,True,dendrite_extended,axon_interareal,111895099872460071,864691135517531786,[343040 126243  18986],1372.16,504.972,759.44
92,2024-06-03 19:45:52.568627+00:00,,True,864691135655390658,True,True,dendrite_extended,axon_fully_extended,90218434691891001,864691135655390658,[184960 103440  22028],739.84,413.76,881.12
93,2024-06-03 19:45:52.569304+00:00,,True,864691135118918109,True,True,dendrite_extended,axon_fully_extended,80731847898064242,864691135118918109,[115813 201464  18766],463.252,805.856,750.64
94,2024-06-03 19:45:52.569984+00:00,,True,864691135738047620,True,True,dendrite_extended,axon_fully_extended,92976078440074681,864691135738047620,[204976 202048  21408],819.904,808.192,856.32
99,2024-06-03 19:45:52.573355+00:00,,True,864691135782544435,True,True,dendrite_extended,axon_partially_extended,108806365283182212,864691135782544435,[320131 182362  16931],1280.524,729.448,677.24
100,2024-06-03 19:45:52.574747+00:00,,True,864691136089194039,True,True,dendrite_extended,axon_interareal,107892602468379661,864691136089194039,[313537 189832  17683],1254.148,759.328,707.32
101,2024-06-03 19:45:52.575436+00:00,,True,864691135724393131,True,True,dendrite_extended,axon_interareal,113168059459905031,864691135724393131,[352096 173728  19310],1408.384,694.912,772.4
107,2024-06-03 19:45:52.579433+00:00,,True,864691136238652476,True,True,dendrite_extended,axon_fully_extended,88825765575333831,864691136238652476,[175136 212800  20750],700.544,851.2,830.0
111,2024-06-03 19:45:52.582070+00:00,,True,864691135272206865,True,True,dendrite_extended,axon_interareal,104224701203002036,864691135272206865,[287036 125025  23889],1148.144,500.1,955.56
112,2024-06-03 19:45:52.582857+00:00,,True,864691135919645872,True,True,dendrite_extended,axon_interareal,111195948050739064,864691135919645872,[337633 160391  20312],1350.532,641.564,812.48
113,2024-06-03 19:45:52.583514+00:00,,True,864691135492613471,True,True,dendrite_extended,axon_fully_extended,89094596168323539,864691135492613471,[176992 118496  20713],707.968,473.984,828.52
115,2024-06-03 19:45:52.584839+00:00,,True,864691136974813212,True,True,dendrite_extended,axon_fully_extended,90651917084211802,864691136974813212,[188352 187088  21652],753.408,748.352,866.08
4588,2025-11-17 21:56:20.332001+00:00,,True,864691135137137433,True,True,dendrite_extended,axon_fully_extended,101344530091002886,864691135137137433,[266032 161840  20489],1064.128,647.36,819.56
118,2024-06-03 19:45:52.586829+00:00,,True,864691135462420637,True,True,dendrite_extended,axon_interareal,109507166708685677,864691135462420637,[325231 160860  18829],1300.924,643.44,753.16
121,2024-06-03 19:45:52.588786+00:00,,True,864691136066069400,True,True,dendrite_clean,axon_interareal,105911901325998145,864691136066069400,[299485 112395  20242],1197.94,449.58,809.68
124,2024-06-03 19:45:52.590877+00:00,,True,864691136991202453,True,True,dendrite_extended,axon_fully_extended,89810172012765492,864691136991202453,[181952 207456  20474],727.808,829.824,818.96
127,2024-06-03 19:45:52.592844+00:00,,True,864691135469422674,True,True,dendrite_extended,axon_interareal,92968244151133945,864691135469422674,[204851 143787  19186],819.404,575.148,767.44
128,2024-06-03 19:45:52.593492+00:00,,True,864691135782702387,True,True,dendrite_clean,axon_interareal,91277882932418368,864691135782702387,[192560 132784  23009],770.24,531.136,920.36
129,2024-06-03 19:45:52.594154+00:00,,True,864691135382556378,True,True,dendrite_extended,axon_interareal,109792627683441316,864691135382556378,[327494 190214  20892],1309.976,760.856,835.68
134,2024-06-03 19:45:52.597478+00:00,,True,864691135446065810,True,True,dendrite_clean,axon_fully_extended,105429971299882023,864691135446065810,[295824 191984  17489],1183.296,767.936,699.56
135,2024-06-03 19:45:52.598275+00:00,,True,864691135360096071,True,True,dendrite_clean,axon_interareal,90722079133365436,864691135360096071,[188944 186048  17813],755.776,744.192,712.52
137,2024-06-03 19:45:52.599612+00:00,,True,864691135577202181,True,True,dendrite_extended,axon_fully_extended,85514448533910582,864691135577202181,[150880 183088  18273],603.52,732.352,730.92
138,2024-06-03 19:45:52.600296+00:00,,True,864691136227484753,True,True,dendrite_clean,axon_interareal,108377693657218447,864691136227484753,[317136 134160  20651],1268.544,536.64,826.04
142,2024-06-03 19:45:52.603011+00:00,,True,864691135518791818,True,True,dendrite_extended,axon_partially_extended,91785926291921300,864691135518791818,[196288 247568  24687],785.152,990.272,987.48
145,2024-06-03 19:45:52.605058+00:00,,True,864691136137140093,True,True,dendrite_clean,axon_fully_extended,104517309070464921,864691136137140093,[288976 208016  26425],1155.904,832.064,1057.0
152,2024-06-03 19:45:52.610004+00:00,,True,864691135257404079,True,True,dendrite_clean,axon_interareal,109783419407740073,864691135257404079,[327232 121712  21861],1308.928,486.848,874.44
155,2024-06-03 19:45:52.612081+00:00,,True,864691136451224831,True,True,dendrite_clean,axon_interareal,111121112138066845,864691136451224831,[337248 126832  17387],1348.992,507.328,695.48
158,2024-06-03 19:45:52.614285+00:00,,True,864691135809608652,True,True,dendrite_extended,axon_interareal,107890542024761410,864691135809608652,[313386 174566  26220],1253.544,698.264,1048.8
165,2024-06-03 19:45:52.619120+00:00,,True,864691135273655569,True,True,dendrite_extended,axon_fully_extended,106554909067292402,864691135273655569,[304160 185008  17299],1216.64,740.032,691.96
167,2024-06-03 19:45:52.620514+00:00,,True,864691134886037498,True,True,dendrite_clean,axon_fully_extended,106414927627242268,864691134886037498,[302896 190304  18178],1211.584,761.216,727.12
172,2024-06-03 19:45:52.624259+00:00,,True,864691135492614239,True,True,dendrite_extended,axon_fully_extended,85304373764574894,864691135492614239,[149480 190770  23351],597.92,763.08,934.04
175,2024-06-03 19:45:52.626341+00:00,,True,864691135099901728,True,True,dendrite_extended,axon_interareal,106278657642871284,864691135099901728,[301816 223456  23649],1207.264,893.824,945.96
176,2024-06-03 19:45:52.627037+00:00,,True,864691135545730856,True,True,dendrite_extended,axon_partially_extended,90297805553356549,864691135545730856,[185584 170240  21046],742.336,680.96,841.84
