idx_a,idx_b,dist_um,syn_ab,syn_ba,syn_total,root_id_a,root_id_b
583,1151,5.786273412136726,0,0,0,864691136052637171,864691135389195393
1134,1323,5.95975838436422,0,0,0,864691135490505018,864691136211371452
249,1471,6.179418742891586,0,0,0,864691135938404612,864691135646493679
1611,1873,6.352065490846311,0,0,0,864691135496262032,864691136312150874
566,1672,6.390412819215992,0,0,0,864691136579129876,864691135214986368
1074,2175,6.45056524655008,0,0,0,864691136288644291,864691135480892614
936,2145,6.585244110889131,0,0,0,864691135469807954,864691135618339945
1816,1820,6.806171317267916,0,0,0,864691135778954848,864691135990701056
694,1127,6.878511466880056,0,0,0,864691135375351369,864691135347733151
1307,1438,6.916220933428927,0,0,0,864691135476790080,864691136177127174
171,289,6.963332535503423,0,0,0,864691135855860782,864691136419760791
945,1492,7.077500123631256,0,0,0,864691135853055175,864691135336847849
249,1111,7.12110103846305,0,0,0,864691135938404612,864691134949248508
1478,1976,7.154921103688055,0,0,0,864691136239902780,864691136111294392
215,671,7.2199722991158595,0,0,0,864691135992790209,864691135417313722
183,1552,7.256811421002963,0,0,0,864691135697271450,864691136274933950
2153,2154,7.258716139924475,0,0,0,864691136314485053,864691136196979020
1023,1578,7.372793229163463,0,0,0,864691135885623408,864691135802215266
449,2260,7.413030689266032,0,0,0,864691136330407914,864691135570381292
184,1317,7.431875133504382,0,0,0,864691135565770007,864691136058023640
1107,1794,7.43559116681375,0,0,0,864691135779705021,864691135698211994
1489,2130,7.5904107925724205,0,0,0,864691135470787666,864691136391024144
1403,2226,7.632322844324678,0,0,0,864691136067382936,864691135295330828
698,2226,7.646966457360707,0,0,0,864691135569592300,864691135295330828
1071,2282,7.663185760504601,0,0,0,864691136438717086,864691136111556792
689,2292,7.666692637637241,0,0,0,864691135990004992,864691135102433056
1685,2167,7.668862757932178,0,0,0,864691135577644574,864691136086632812
583,1475,7.693392489662756,0,0,0,864691136052637171,864691135124603687
469,764,7.742479189510251,0,0,0,864691135214653240,864691135465585221
178,215,7.7595257587046795,0,0,0,864691135014734486,864691135992790209
2054,2121,7.764073157821299,0,0,0,864691135570303724,864691136058804696
118,2315,7.780282771210802,0,0,0,864691136012173475,864691135886314096
524,1985,7.838926457111397,0,0,0,864691136025333561,864691135376096329
663,958,7.841244799137495,0,0,0,864691135885635952,864691134949041148
1035,1237,7.853571926200219,0,0,0,864691135947629348,864691136424704815
310,1594,7.909702396424223,0,0,0,864691134885645050,864691135760635214
161,543,7.921292823775646,0,0,0,864691135994804394,864691135938925109
587,1254,7.928258320715855,0,0,0,864691135810773452,864691135757040082
716,1570,7.930841065107843,0,0,0,864691135725920939,864691134966324767
1356,2073,7.966558102468003,0,0,0,864691136380816597,864691135431648048
418,534,7.968080320880212,0,0,0,864691135136312089,864691136275807757
1542,1808,7.989513126592804,0,0,0,864691135741982868,864691135994134977
548,994,7.992828785855448,0,0,0,864691136488591378,864691135868415766
510,1781,7.998863919332578,0,0,0,864691136380312021,864691136111251896
1472,1473,8.002447625570582,0,0,0,864691135853088967,864691135295165196
1897,2031,8.02151107959093,0,0,0,864691135470556242,864691136091634487
1074,1580,8.0566474417092,0,0,0,864691136288644291,864691135274830353
615,1179,8.085194369957946,0,0,0,864691135868334870,864691135993615041
2224,2228,8.142667867474389,0,0,0,864691136453442303,864691136968773070
557,967,8.149298865546658,0,0,0,864691135919756208,864691136906067890
1158,1479,8.159156819181765,0,0,0,864691135398868257,864691136026198585
1514,1536,8.15957645959635,0,0,0,864691135954680867,864691136814655859
581,1464,8.199512180611734,0,0,0,864691135719900721,864691135928395278
674,688,8.205754078693776,0,0,0,864691135335937513,864691136021865976
507,1642,8.208456127677128,0,0,0,864691135726939455,864691136421279639
169,960,8.23032052838784,0,0,0,864691135946994785,864691135133991072
1497,1667,8.278670424651539,0,0,0,864691135764932662,864691136137293195
181,2119,8.3153871828076,0,0,0,864691136913135089,864691135739004292
1998,2238,8.328245913756351,0,0,0,864691136102207349,864691136331247338
1205,1381,8.333623461616249,0,0,0,864691136274695358,864691135350542039
710,974,8.359552141113758,0,0,0,864691134949081852,864691135760106830
530,1435,8.37896413645502,0,0,0,864691136021849848,864691136372630152
1132,1204,8.395720814796128,0,0,0,864691135465583685,864691135469215372
1117,2272,8.427828189990631,0,0,0,864691135360482392,864691136619693275
1268,1346,8.443938417587,0,0,0,864691135350606039,864691135727496511
1845,2032,8.508834937874887,0,0,0,864691135764583990,864691135577617694
964,1382,8.527268261289754,0,0,0,864691136596177570,864691135773776459
953,1225,8.530266115426915,0,0,0,864691135942730612,864691136913691121
1465,1537,8.531170142483365,0,0,0,864691135778773856,864691136391027728
712,722,8.534361604712986,0,0,0,864691135465113157,864691135611019015
501,1907,8.539384521146818,0,0,0,864691135731679929,864691135571356038
954,1149,8.540163932852863,0,0,0,864691135773240571,864691135211756736
686,2256,8.542516725181212,0,0,0,864691135725842603,864691135215381304
62,1411,8.544855762387074,0,0,0,864691135469422674,864691135339729126
183,948,8.54900602409424,0,0,0,864691135697271450,864691135694421439
229,1603,8.566815977946618,0,0,0,864691135101521952,864691136905758130
1261,1579,8.568567674938436,0,0,0,864691135773694795,864691135511486985
1535,2218,8.57040115747212,0,0,0,864691135726881195,864691136381346005
564,575,8.573704916779016,0,0,0,864691134941412707,864691135801463650
778,1859,8.586501033599161,0,0,0,864691136674080135,864691135060651419
1119,1155,8.593236410107613,0,0,0,864691134941824611,864691135755384269
163,684,8.610616702652592,0,0,0,864691136674744199,864691135591664907
551,2158,8.631381812896494,0,0,0,864691135271038885,864691136968687310
1190,1429,8.633719939863688,0,0,0,864691135764062006,864691135566649431
480,1043,8.63558776227773,0,0,0,864691135877825107,864691136238090767
438,528,8.670675175555747,0,0,0,864691136596060322,864691135948010081
1326,2272,8.67502530255676,0,0,0,864691135324725404,864691136619693275
620,1263,8.682712940089537,0,0,0,864691135989943040,864691136274655166
1197,1900,8.693261758396583,0,0,0,864691135716679194,864691135106357069
588,2281,8.715819181235915,0,0,0,864691135725748139,864691135577816862
2174,2207,8.72215753125337,0,0,0,864691136108410329,864691135732518585
1234,1535,8.72289493230319,0,0,0,864691136299034139,864691135726881195
1039,1239,8.728670918301342,0,0,0,864691135970210661,864691135375767369
1029,1538,8.733864207783393,0,0,0,864691135853091015,864691135757083346
580,1998,8.750829903500572,0,0,0,864691136975144988,864691136102207349
1297,1729,8.753988805110543,0,0,0,864691135686055351,864691135573315053
698,1542,8.780432791155572,0,0,0,864691135569592300,864691135741982868
26,458,8.785034547456247,0,0,0,864691135361314119,864691135993150913
543,925,8.786491449947492,0,0,0,864691135938925109,864691136742372956
274,512,8.788763735588732,0,0,0,864691135323181212,864691135948215076
1566,1812,8.789462782218239,0,0,0,864691135732210873,864691135646775791
1386,1812,8.801346260658057,0,0,0,864691136390474359,864691135646775791
1518,2225,8.810873282484524,0,0,0,864691135184104194,864691136058895576
958,1815,8.81704531007981,0,0,0,864691134949041148,864691135210061689
403,994,8.838493989362677,0,0,0,864691136905506482,864691135868415766
517,1068,8.844227043670967,0,0,0,864691135778811325,864691135738953860
2141,2176,8.845337754998388,0,0,0,864691136524282001,864691136043380566
1405,1995,8.858976916100408,0,0,0,864691135584019053,864691136108378073
1040,1822,8.866602506033555,0,0,0,864691135274038801,864691136053465587
1823,1864,8.866844308997484,0,0,0,864691135764631862,864691135727790911
69,526,8.891254129761387,0,0,0,864691135518791818,864691135591533579
750,1697,8.921693112857005,0,0,0,864691136136838027,864691135942120449
1214,1596,8.935179908653305,0,0,0,864691135214643256,864691136372759688
1475,2121,8.943273673549246,0,0,0,864691135124603687,864691136058804696
584,1328,8.94364578905055,0,0,0,864691135274860561,864691136006519498
57,2210,8.966601139785388,0,0,0,864691136974813212,864691136336107187
1731,1825,8.97559000846189,0,0,0,864691135778618029,864691135102434592
985,1258,8.980319816131313,0,0,0,864691135817195343,864691135124146727
215,1686,8.988483298087507,0,0,0,864691135992790209,864691136484596012
506,1566,9.012702147524903,0,0,0,864691135782156880,864691135732210873
463,1961,9.016340721157269,0,0,0,864691135502885954,864691136664950750
688,1371,9.05614487516624,0,0,0,864691136021865976,864691136211385020
2190,2282,9.072493813720698,0,0,0,864691134991032954,864691136111556792
2289,2299,9.143524047105645,0,0,0,864691135060869787,864691136239980604
117,983,9.190018933603978,0,0,0,864691135271590309,864691136311451226
1835,2256,9.205827719439453,0,0,0,864691136118686884,864691135215381304
729,834,9.208441344766253,0,0,0,864691135060094107,864691135562001633
1149,2254,9.249937513302447,0,0,0,864691135211756736,864691135465098653
1507,1555,9.250172755143604,0,0,0,864691135571515270,864691136975639836
1441,1471,9.250172755143636,0,0,0,864691135280481697,864691135646493679
463,721,9.25724105768019,0,0,0,864691135502885954,864691135738995588
1340,1388,9.26343348872325,0,0,0,864691135492991839,864691136380757461
492,720,9.268572274088399,0,0,0,864691136058646488,864691136211325884
419,444,9.282899547016575,0,0,0,864691137055253878,864691135276189669
1828,1903,9.283654452854282,0,0,0,864691135774053371,864691135347633055
1491,2094,9.287917312293448,0,0,0,864691135280944545,864691135060768923
1902,2016,9.306678892064497,0,0,0,864691136145574196,864691136299026971
513,1818,9.3156831204158,0,0,0,864691136138803837,864691135742756203
1116,1698,9.324613450433228,0,0,0,864691134949263100,864691135014966262
1140,2022,9.325145360797299,0,0,0,864691135990134784,864691135584625773
2155,2238,9.333528378914405,0,0,0,864691136331214058,864691136331247338
505,2048,9.343027346636672,0,0,0,864691135455400554,864691135741780116
2154,2162,9.361969023661613,0,0,0,864691136196979020,864691136118878116
1111,1471,9.38391815821091,0,0,0,864691134949248508,864691135646493679
702,1908,9.388991000102182,0,0,0,864691134966025503,864691135885996912
121,838,9.398757364673274,0,0,0,864691135503004765,864691135572576237
463,1494,9.40862923065843,0,0,0,864691135502885954,864691136137239691
982,1966,9.419978768553577,0,0,0,864691135566274391,864691135686442423
1150,2024,9.450898793236554,0,0,0,864691135662825456,864691135662774512
1847,1902,9.45490348972432,0,0,0,864691135511316745,864691136145574196
543,877,9.458480216186977,0,0,0,864691135938925109,864691137055290998
1477,2219,9.469138081156052,0,0,0,864691135732557241,864691135717457946
1642,2126,9.481755111792332,0,0,0,864691136421279639,864691135928376590
1047,1130,9.495514730650456,0,0,0,864691135214246528,864691135388545921
599,604,9.495767478197918,0,0,0,864691135725838763,864691135778335328
1692,2207,9.519287368285486,0,0,0,864691136034011579,864691135732518585
571,973,9.522571081383521,0,0,0,864691135387988609,864691135209432185
1112,1531,9.528617948055215,0,0,0,864691135640672571,864691135015154934
1236,2072,9.534526731830963,0,0,0,864691135891467401,864691135102390816
1332,1531,9.542923661017033,0,0,0,864691135493031519,864691135015154934
605,953,9.549641249806161,0,0,0,864691135279848865,864691135942730612
1569,1633,9.551463971559535,0,0,0,864691136579629844,864691136118771108
1512,1513,9.580570337928773,0,0,0,864691135493149927,864691135843242211
