table_name,voxel_resolution_nm,table_metadata_url
synapses_pni_2,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/synapses_pni_2/metadata
nucleus_detection_v0,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/nucleus_detection_v0/metadata
vortex_manual_nodes_of_ranvier,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/vortex_manual_nodes_of_ranvier/metadata
bodor_pt_target_proofread,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/bodor_pt_target_proofread/metadata
baylor_gnn_cell_type_fine_model_v2,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/baylor_gnn_cell_type_fine_model_v2/metadata
nucleus_alternative_points,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/nucleus_alternative_points/metadata
nucleus_functional_area_assignment,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/nucleus_functional_area_assignment/metadata
coregistration_auto_phase3_fwd_apl_vess_combined_v2,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/coregistration_auto_phase3_fwd_apl_vess_combined_v2/metadata
aibs_metamodel_mtypes_v661_v2_corrections,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/aibs_metamodel_mtypes_v661_v2_corrections/metadata
vortex_thalamic_proofreading_status,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/vortex_thalamic_proofreading_status/metadata
allen_column_mtypes_v2,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/allen_column_mtypes_v2/metadata
proofreading_status_and_strategy,4.0x4.0x40.0,https://global.daf-apis.com/materialize/api/v3/datastack/minnie65_public/table/proofreading_status_and_strategy/metadata
