dataset,first_author,year,venue,id,species,regions,snATAC_nuclei_reported,multiomic,platform,donors,cCREs,access,cortex_note
Multi-region AD epigenomic atlas (ROSMAP/Kellis),Xiong et al.,2025,Cell,PMID 40752494,Human,"6 brain regions (incl. PFC & other neocortex, hippocampus, EC, thalamus)",~3.5M cells total (snATAC + snRNA combined); snATAC subset is a large fraction (>1M),Yes (paired snATAC + snRNA),10x snATAC + snRNA,"111 (AD + control), 384 samples",">1,000,000","Public - Synapse/GEO (ROSMAP, AD Knowledge Portal)",Multi-region; neocortical regions are a subset
Parkinson's multiome (ACC + SN),(PD long-read multiome),2026,bioRxiv (preprint),PMID 41889906,Human,Anterior cingulate cortex (ACC) + substantia nigra,3.1M snATAC nuclei (+1.1M snRNA),Yes (snATAC + snRNA + long-read WGS),10x snATAC + snRNA,"190 (115 control, 75 PD)","53,841 high-confidence caQTL/regulatory",Preprint - accession likely pending (verify on publication),ACC is neocortex; SN is midbrain - cortex-only fraction ~half
PsychENCODE2 / brainSCOPE,Emani et al.,2024,Science,PMID 38781369,Human,Prefrontal cortex (PFC),>2.8M nuclei total (snRNA-dominated); snATAC is a subset,"Yes (snRNA, snATAC, multiome aggregated)",10x snRNA + snATAC + multiome,388 individuals,">550,000 cell-type regulatory elements",Public - brainSCOPE / PsychENCODE (Synapse),All PFC (neocortex); ATAC fraction << 2.8M total
Comparative human brain snATAC atlas (catlas),Li et al.,2023,Science,PMID 37824643,Human,42 brain regions (many neocortical areas + subcortical),1.1M snATAC nuclei,"No (snATAC-only, integrated w/ RNA refs)",10x snATAC (single-nucleus),3 adults,"544,735 cCREs; 107 cell types",Public - catlas.org/humanbrain; GEO,Largest dedicated snATAC-ONLY brain atlas; cortex a large subset of 42 regions
Comparative neocortex multiome (M1),Zemke et al.,2023,Nature,PMID 38092918,"Human, Macaque, Marmoset, Mouse",Primary motor cortex (M1),">200,000 cells TOTAL across 4 species & all modalities; snATAC is a per-species subset",Yes (snATAC + snRNA + snmC + Hi-C),10x multiome + snmC + Hi-C,Multi-species,human-specific cCREs (~80% from TEs),Public - GEO / NeMO,ONLY large resource with non-human-primate (macaque+marmoset) cortical ATAC
BICCN primary motor cortex census (M1),Bakken et al. / BICCN,2021,Nature,PMID 34616062 / 34616075,"Human, Marmoset, Mouse (+macaque companion)",Primary motor cortex (M1),Tens of thousands snATAC per species (multimodal census),"Yes (multimodal: RNA, ATAC, mC, MERFISH, ephys)",snATAC + snmC + scRNA,Multi-species,-,Public - NeMO / GEO,Foundational primate (human+marmoset) M1 ATAC
Developing human cortex multiome,Trevino et al.,2021,Cell,PMID 34390642,Human (fetal),Developing cerebral cortex,~tens of thousands snATAC (joint + independent),Yes (paired snATAC + snRNA),10x multiome,Fetal samples,-,Public - GEO,Developmental; smaller scale
Single-cell epigenomics of human cortical development,Ziffra et al.,2021,Nature,PMID 34616060,Human (fetal),Developing cortex (multiple areas),~tens of thousands snATAC,Partial (snATAC + scRNA refs),10x snATAC,Mid-gestation fetal,-,Public - GEO / NeMO,Developmental prenatal cortex
Multi-omic epigenetic atlas of adult human brain,Corces et al.,2020,Nature Genetics,PMID 33106633,Human,Multiple adult regions (incl. isocortex/PFC) + subcortical,"~70,000 snATAC nuclei",No (snATAC + bulk HiChIP),10x snATAC,Cognitively healthy cohort,-,Public - GEO,Early human brain snATAC; cortex a subset
Developing macaque & mouse PFC multiome,(comparative dev primate),2025,Developmental Cell,PMID 39481377,"Macaque, Mouse (vs published human)",Developing prefrontal cortex (PFC),cell-type-resolved (tens of thousands per species),Yes (paired RNA + ATAC),10x multiome,Developmental,human-gained accessible regions,Public - GEO,Non-human-primate (macaque) developmental cortex ATAC
